reward	loss
7.0	-0.9179744124412537
4.0	-1.130811251126803
3.0	-0.932860065908993
13.0	-0.7113744385780827
7.0	1.8088364463586073
9.0	1.7514889228100678
6.0	2.908131687768868
4.0	2.826559870946603
4.0	2.666104192083532
5.0	2.4718719671169915
6.0	2.090521302404283
4.0	1.9601254718644279
23.0	1.3926976720492046
11.0	1.1999586284160615
72.0	0.7449812866781158
90.0	0.5929615640878336
81.0	0.5598023026161242
36.0	0.49500550925338793
24.0	0.5581163751498892
34.0	0.6579223439996543
12.0	0.6596547816009378
26.0	0.6038992204703391
11.0	0.6294897045931119
51.0	0.7807270318977666
19.0	0.7462445547291771
22.0	0.6599106271758859
20.0	0.6557664487727883
29.0	0.6435761595118098
15.0	0.8196235589670675
22.0	0.7839531654990943
46.0	0.7839834651014602
6.0	0.7824002166027919
4.0	0.7776312834315728
72.0	0.6956798774878664
14.0	0.7096680212373391
21.0	0.7033607223407677
50.0	0.5662408414392975
16.0	0.5922322136145224
13.0	0.5911358118847553
24.0	0.6151735296784938
10.0	0.6138692747894957
9.0	0.6030018582782235
14.0	0.5779488471575015
34.0	0.6005032639483519
3.0	0.6095445880575103
24.0	0.5800607472248757
8.0	0.5735807583195239
30.0	0.5432896956006118
9.0	0.539635852757977
8.0	0.5397156113680731
20.0	0.5484840867949882
66.0	0.5177061495086359
21.0	0.496829110809254
3.0	0.490121796542631
3.0	0.4974542004427912
24.0	0.49502524695685646
6.0	0.4926619543150386
21.0	0.48696868779214686
19.0	0.4695655591003372
8.0	0.4740199522721068
23.0	0.4658554358767373
5.0	0.4660122022172504
29.0	0.4670355848805915
5.0	0.4608017992943701
13.0	0.45508139335588516
6.0	0.4588554960535479
14.0	0.4600896337856467
4.0	0.4560631316078392
4.0	0.45569508009524606
59.0	0.43758588600042214
3.0	0.43935538061217544
33.0	0.4275065211569866
12.0	0.424119369534422
5.0	0.4211364715156285
13.0	0.41674371850836084
6.0	0.42056459828363885
6.0	0.41690620418058616
24.0	0.3877195544520448
20.0	0.3831973256296953
4.0	0.3806404129375699
14.0	0.3818126727776089
3.0	0.37948035102987787
11.0	0.3747512108405857
6.0	0.3771866042125144
3.0	0.3715887366185597
5.0	0.37379852947066194
6.0	0.37280673084694516
6.0	0.3653564683505872
7.0	0.36635108990717
5.0	0.36188938359169526
4.0	0.354968078357397
3.0	0.35293499169267384
7.0	0.3488059484963635
26.0	0.33804290401741394
21.0	0.32563194438613313
22.0	0.32475094693726275
28.0	0.30136029052249663
16.0	0.292786527174648
14.0	0.29892373178714515
3.0	0.285375811545881
35.0	0.284900477338041
40.0	0.2806122750928172
26.0	0.3002688695538433
66.0	0.3178293914883682
60.0	0.2906335014943874
24.0	0.29942766963748996
2.0	0.28324946613500945
50.0	0.2963298223696402
2.0	0.1984342205934303
35.0	0.23149807183392324
107.0	0.2266008493305411
44.0	0.33891381295489953
2.0	0.3367497864176378
64.0	0.38033132546139475
5.0	0.35199215589043686
44.0	-0.16290329919353005
31.0	-0.5542491744886723
40.0	-0.4924077360964942
3.0	-0.21335667566004657
20.0	0.10876154029067267
7.0	0.11342380188742322
122.0	0.3838178844002306
285.0	0.7662866225068519
183.0	0.44591065761152254
5.0	0.42749665412007054
7.0	0.45958260958542685
4.0	0.4048792702620664
4.0	0.24255220112249049
5.0	0.3074088209940395
7.0	0.3474742347292315
4.0	0.32436541580919226
63.0	0.3209400878312249
255.0	0.26346752356023
59.0	0.39863719772054534
7.0	0.18911003443699892
239.0	0.5144650169737484
35.0	0.33364384112549544
1.0	0.3309492678479907
228.0	0.2255014795664078
