reward	loss	steps
24.0	0.7840392179787159	25
29.0	2.617254313081503	30
8.0	2.116937071084976	9
42.0	1.6567469062283635	43
233.0	29.695107799954712	234
222.0	31.681788234971464	223
60.0	31.186938548460603	61
29.0	34.766536021605134	30
15.0	29.39427020587027	16
66.0	21.693465249612927	67
23.0	14.915041701868176	24
144.0	4.295222686603665	145
150.0	-2.869938602671027	151
280.0	13.445497585460544	281
171.0	-6.536609398201108	172
1393.0	-17.459172474220395	1394
140.0	-28.030263865366578	141
988.0	-22.114781523123384	989
129.0	-23.792486218735576	130
237.0	-24.59163734409958	238
36.0	-24.13719263020903	37
386.0	-16.216025912202895	387
303.0	-18.4345846446231	304
708.0	8.573024961166084	709
318.0	59.22147730272263	319
1138.0	60.16343662887812	1139
2188.0	113.7287108078599	2189
949.0	122.91372379660606	950
606.0	141.2556636929512	607
459.0	111.51839232444763	460
161.0	131.9694195985794	162
412.0	101.45082521438599	413
288.0	99.91716381255537	289
264.0	109.47019348014146	265
1022.0	108.62287478148937	1023
686.0	105.33992834016681	687
765.0	105.4000030074385	766
1266.0	126.98190834262641	1267
81.0	142.20563771465095	82
207.0	146.70908286311897	208
142.0	150.77760614344152	143
231.0	179.06960005947622	232
188.0	166.63449349888833	189
240.0	151.77152034902247	241
957.0	125.04852664732607	958
22.0	113.41561723017367	23
179.0	104.52246557438048	180
21.0	110.98307507002028	22
452.0	123.31303233170183	453
566.0	123.09596222132677	567
1.0	122.71026539296145	2
116.0	140.21613798529143	117
241.0	166.06703829258913	242
134.0	179.11683172226185	135
162.0	177.83461697545135	163
500.0	229.96022440638626	501
349.0	219.5652574315318	350
49.0	221.5550212204107	50
255.0	246.81891434785211	256
33.0	251.23610436316812	34
27.0	257.32169925566996	28
119.0	272.04548179503763	120
15.0	267.93709432479227	16
108.0	264.0196843869635	109
8.0	264.03268255729927	9
88.0	251.88525139231933	89
435.0	264.23645063181175	436
21.0	264.48530050431145	22
23.0	252.85210510407342	24
254.0	259.59989939507795	255
276.0	245.058284192055	277
18.0	243.4687743621762	19
19.0	222.08772043761564	20
15.0	227.99288467940642	16
7.0	230.10717420157744	8
71.0	207.76252131041838	72
168.0	193.47531384852482	169
11.0	192.23930919793202	12
182.0	187.01216152933193	183
653.0	189.8055643129046	654
188.0	156.84315287944628	189
32.0	157.27578938537044	33
609.0	145.63491732411785	610
286.0	123.5830651872675	287
215.0	134.93231925898	216
43.0	132.33976977103157	44
119.0	153.8097389244358	120
44.0	176.6249038481037	45
4.0	175.18533425562782	5
528.0	156.16440432303352	529
245.0	159.26456128217978	246
153.0	181.10065998294158	154
1008.0	199.96298642613692	1009
511.0	195.80588320054812	512
1045.0	236.17513159074588	1046
88.0	243.62270829983754	89
371.0	272.9586139113526	372
672.0	271.90011414018227	673
1032.0	287.37789066758705	1033
278.0	263.64785509434296	279
15.0	263.19670199480606	16
161.0	261.9794488658081	162
