num_steps,num_episodes,total_reward,avg_reward
139.0,3.0,105.92500305175781,35.30833435058594
130.0,7.0,108.11699676513672,15.445284843444824
138.0,6.0,116.62999725341797,19.43833351135254
140.0,3.0,115.14400482177734,38.3813362121582
137.0,5.0,110.53300476074219,22.10660171508789
130.0,5.0,111.08201599121094,22.21640396118164
145.0,7.0,113.98500061035156,16.283571243286133
142.0,7.0,122.26800537109375,17.46685791015625
148.0,6.0,121.27201080322266,20.21200180053711
144.0,5.0,114.95500183105469,22.99100112915039
188.0,8.0,159.30799865722656,19.91349983215332
157.0,5.0,119.44000244140625,23.88800048828125
1526.0,1.0,1151.114501953125,1151.114501953125
326.0,3.0,266.9840087890625,88.99466705322266
292.0,1.0,270.322021484375,270.322021484375
300.0,3.0,263.1330871582031,87.71102905273438
1650.0,1.0,1444.0706787109375,1444.0706787109375
1112.0,1.0,937.5575561523438,937.5575561523438
814.0,1.0,734.6790771484375,734.6790771484375
1721.0,1.0,1501.3916015625,1501.3916015625
790.0,1.0,705.617919921875,705.617919921875
1778.0,1.0,1554.4866943359375,1554.4866943359375
1607.0,1.0,1460.0986328125,1460.0986328125
310.0,1.0,301.5498352050781,301.5498352050781
1746.0,1.0,1556.7989501953125,1556.7989501953125
1641.0,1.0,1387.32763671875,1387.32763671875
266.0,1.0,201.9979248046875,201.9979248046875
364.0,1.0,324.9478454589844,324.9478454589844
360.0,1.0,297.8330383300781,297.8330383300781
566.0,1.0,459.9870300292969,459.9870300292969
254.0,2.0,169.22598266601562,84.61299133300781
400.0,1.0,338.73199462890625,338.73199462890625
2228.0,2.0,1918.411376953125,959.2056884765625
2229.0,2.0,1932.9039306640625,966.4519653320312
976.0,2.0,810.9533081054688,405.4766540527344
775.0,2.0,721.8182983398438,360.9091491699219
313.0,1.0,282.104736328125,282.104736328125
321.0,1.0,298.44403076171875,298.44403076171875
1307.0,1.0,1226.0220947265625,1226.0220947265625
1019.0,1.0,926.2020263671875,926.2020263671875
826.0,1.0,685.1237182617188,685.1237182617188
1645.0,1.0,1571.4739990234375,1571.4739990234375
789.0,1.0,716.6380615234375,716.6380615234375
765.0,1.0,694.039794921875,694.039794921875
361.0,1.0,349.3496398925781,349.3496398925781
1574.0,1.0,1520.0675048828125,1520.0675048828125
372.0,1.0,366.248779296875,366.248779296875
1534.0,1.0,1421.103515625,1421.103515625
1649.0,1.0,1589.8154296875,1589.8154296875
1735.0,1.0,1638.546630859375,1638.546630859375
2223.0,1.0,2147.8603515625,2147.8603515625
136.0,11.0,102.5820083618164,9.325636863708496
376.0,1.0,332.41705322265625,332.41705322265625
883.0,1.0,699.3707275390625,699.3707275390625
251.0,1.0,168.51498413085938,168.51498413085938
1939.0,1.0,1694.1800537109375,1694.1800537109375
652.0,1.0,348.68719482421875,348.68719482421875
131.0,24.0,126.3600082397461,5.265000343322754
351.0,1.0,275.4720764160156,275.4720764160156
194.0,1.0,151.4669952392578,151.4669952392578
131.0,10.0,82.80599212646484,8.280599594116211
